avg_finish,champ,conf,g,l,name,perc,poff_g,poff_l,poff_perc,poff_w,sb,t,w,yrs
2.4,2,5,418,162,Tom Landry,0.607,36,16,0.556,20,2,6,250,29
5.0,0,0,45,33,Dick LeBeau,0.267,0,0,,0,0,0,12,3
3.0,1,0,135,64,Wally Lemm,0.5,3,2,0.333,1,0,7,64,10
5.0,0,0,10,8,Jim Leonard,0.2,0,0,,0,0,0,2,1
2.7,0,4,255,112,Marv Levy,0.561,19,8,0.579,11,0,0,143,17
4.0,0,0,8,4,Art Lewis,0.5,0,0,,0,0,0,4,1
2.2,0,0,208,94,Marvin Lewis,0.543,6,6,0.0,0,0,2,112,13
3.3,,,36,25,Scott Linehan,0.306,0,0,,0,,0,11,3
1.5,5,2,136,34,Vince Lombardi,0.738,10,1,0.9,9,2,6,96,10
17.5,0,0,7,7,Leo Lyons,0.0,0,0,,0,0,0,0,2
4.0,0,0,64,34,John Mackovic,0.469,1,1,0.0,0,0,0,30,4
4.5,0,0,32,24,Dick MacPherson,0.25,0,0,,0,0,0,8,2
1.3,1,1,142,32,John Madden,0.759,16,7,0.563,9,1,7,103,10
10.0,0,0,8,6,Lou Mahrt,0.143,0,0,,0,0,1,1,1
2.5,0,1,85,41,Ray Malavasi,0.518,6,3,0.5,3,0,0,44,6
3.0,0,0,80,47,Eric Mangini,0.413,1,1,0.0,0,0,0,33,5
3.3,0,0,186,98,Ted Marchibroda,0.47,6,4,0.333,2,0,1,87,12
3.7,0,0,48,38,Rod Marinelli,0.208,0,0,,0,0,0,10,3
2.7,0,0,139,67,Steve Mariucci,0.518,7,4,0.429,3,0,0,72,9
3.0,,,32,17,Doug Marrone,0.469,0,0,,0,,0,15,2
12.5,0,0,15,8,Billy Marshall,0.273,0,0,,0,0,4,3,2
1.7,,1,85,32,Mike Martz,0.624,7,4,0.429,3,,0,53,6
4.0,0,0,5,2,Ned Mathews,0.5,0,0,,0,0,1,2,1
4.3,0,0,30,21,John Mazur,0.3,0,0,,0,0,0,9,3
2.0,1,1,47,17,Don McCafferty,0.62,5,1,0.8,4,1,2,28,4
1.6,1,1,160,55,Mike McCarthy,0.653,13,6,0.538,7,1,1,104,10
3.8,0,0,81,51,Mike McCormack,0.364,0,0,,0,0,1,29,6
3.0,,,48,26,Mike McCoy,0.458,2,1,0.5,1,,0,22,3
4.0,0,0,9,8,Pete McCulley,0.111,0,0,,0,0,0,1,1
3.0,0,0,28,17,Josh McDaniels,0.393,0,0,,0,0,0,11,2
2.5,0,0,21,11,Cap McEwan,0.45,0,0,,0,0,1,9,2
11.0,0,0,3,3,Alfred McGall,0.0,0,0,,0,0,0,0,1
4.3,0,0,57,40,Dave McGinnis,0.298,0,0,,0,0,0,17,4
16.0,0,0,2,2,Wally McIlwain,0.0,0,0,,0,0,0,0,1
3.6,0,0,133,88,John McKay,0.335,4,3,0.25,1,0,1,44,9
4.0,0,0,14,13,Ed McKeever,0.071,0,0,,0,0,0,1,1
6.0,0,0,14,12,Ray McLean,0.077,0,0,,0,0,1,1,2
4.5,0,0,38,24,Bo McMillin,0.368,0,0,,0,0,0,14,4
4.8,0,0,70,46,Bill McPeak,0.313,0,0,,0,0,3,21,5
5.0,,,37,23,John McVay,0.378,0,0,,0,,0,14,3
4.0,0,0,6,5,Jack Meagher,0.167,0,0,,0,0,0,1,1
13.0,0,0,9,5,Harry Mehre,0.286,0,0,,0,0,2,2,1
3.0,0,0,14,9,Ken Meyer,0.357,0,0,,0,0,0,5,1
2.8,0,0,104,50,Ron Meyer,0.519,2,2,0.0,0,0,0,54,9
3.3,0,0,87,47,Walt Michaels,0.454,4,2,0.5,2,0,1,39,6
3.0,0,0,48,26,John Michelosen,0.435,0,0,,0,0,2,20,4
2.0,0,1,62,22,Red Miller,0.645,5,3,0.4,2,0,0,40,4
5.0,0,0,10,8,Wayne Millner,0.2,0,0,,0,0,0,2,1
4.0,,,1,1,Dick Modzelewski,0.0,0,0,,0,,0,0,1
4.0,,,7,3,Gary Moeller,0.571,0,0,,0,,0,4,1
5.0,0,0,12,9,Keith Molesworth,0.25,0,0,,0,0,0,3,1
2.5,0,0,64,33,Jim Mora,0.484,2,1,0.5,1,0,0,31,4
2.9,0,0,231,106,Jim Mora,0.541,6,6,0.0,0,0,0,125,15
7.0,0,0,8,5,Charley Moran,0.286,0,0,,0,0,1,2,1
4.5,0,0,32,27,Marty Mornhinweg,0.156,0,0,,0,0,0,5,2
3.7,,,48,31,Raheem Morris,0.354,0,0,,0,,0,17,3
3.5,0,0,57,39,Mike Mularkey,0.316,0,0,,0,0,0,18,4
6.0,0,0,10,3,Brick Muller,0.667,0,0,,0,0,1,6,1
2.3,,,48,26,Mike Munchak,0.458,0,0,,0,,0,22,3
16.0,0,0,4,4,Johnny Murphy,0.0,0,0,,0,0,0,0,1
2.4,2,0,111,43,Greasy Neale,0.594,4,1,0.75,3,0,5,63,10
16.0,0,0,2,1,Al Nesser,0.0,0,0,,0,0,1,0,1
15.0,0,0,19,14,Ted Nesser,0.176,0,0,,0,0,2,3,2
6.8,0,0,41,27,Ernie Nevers,0.308,0,0,,0,0,2,12,4
16.0,0,0,6,3,Frank Nied,0.25,0,0,,0,0,2,1,1
6.0,0,0,38,30,Mike Nixon,0.167,0,0,,0,0,2,6,3
2.4,0,0,156,82,Dick Nolan,0.457,5,3,0.4,2,0,5,69,11
3.0,,,55,37,Mike Nolan,0.327,0,0,,0,,0,18,4
2.1,4,4,342,148,Chuck Noll,0.566,24,8,0.667,16,4,1,193,23
3.7,0,0,34,23,John North,0.324,0,0,,0,0,0,11,3
1.5,,,32,14,Bill O'Brien,0.563,0,0,,0,,0,18,2
4.0,0,0,7,6,Fred O'Connor,0.143,0,0,,0,0,0,1,1
2.3,2,,268,100,Steve Owen,0.602,10,8,0.2,2,,17,151,23
1.5,,,64,23,Chuck Pagano,0.641,6,3,0.5,3,,0,41,4
4.0,0,0,7,3,Mike Palm,0.5,0,0,,0,0,1,3,1
6.0,,,32,27,Chris Palmer,0.156,0,0,,0,,0,5,2
2.5,2,3,303,130,Bill Parcells,0.569,19,8,0.579,11,2,1,172,19
2.4,0,0,164,77,Jack Pardee,0.53,6,5,0.167,1,0,0,87,11
3.2,2,0,188,75,Buddy Parker,0.581,4,1,0.75,3,0,9,104,15
4.0,0,0,94,59,Jack Patera,0.372,0,0,,0,0,0,35,7
2.1,1,1,144,57,Sean Payton,0.604,10,4,0.6,6,1,0,87,9
3.0,0,0,9,6,Pat Peppler,0.333,0,0,,0,0,0,3,1
3.8,0,0,117,75,Ray Perkins,0.359,2,1,0.5,1,0,0,42,8
4.0,0,0,19,18,Bill Peterson,0.053,0,0,,0,0,0,1,2
5.0,0,0,16,12,Richie Petitbon,0.25,0,0,,0,0,0,4,1
4.0,,,13,10,Bobby Petrino,0.231,0,0,,0,,0,3,1
4.0,,,32,22,Mike Pettine,0.313,0,0,,0,,0,10,2
5.0,0,0,50,35,Jimmy Phelan,0.271,0,0,,0,0,2,13,4
3.0,,,52,28,Joe Philbin,0.462,0,0,,0,,0,24,4
2.8,0,0,159,77,Bum Phillips,0.516,7,3,0.571,4,0,0,82,11
2.9,0,0,146,64,Wade Phillips,0.562,6,5,0.167,1,0,0,82,12
10.0,0,0,5,2,Al Pierotti,0.5,0,0,,0,0,1,2,1
8.5,0,0,13,4,Fritz Pollard,0.667,0,0,,0,0,1,8,2
3.2,0,0,47,19,Hampton Pool,0.578,1,1,0.0,0,0,2,26,5
7.7,1,0,31,12,Earl Potteiger,0.556,0,0,,0,0,4,15,3
4.0,0,0,2,0,Ray Prochaska,1.0,0,0,,0,0,0,2,1
3.3,0,0,88,51,Tommy Prothro,0.408,0,0,,0,0,2,35,7
2.0,,,16,8,Dan Quinn,0.5,0,0,,0,,0,8,1
2.4,0,0,70,33,John Ralston,0.507,0,0,,0,0,3,34,5
3.5,0,0,28,16,Buster Ramsey,0.407,0,0,,0,0,1,11,2
4.8,0,0,60,24,Dick Rauch,0.579,0,0,,0,0,3,33,5
2.2,0,1,70,28,John Rauch,0.588,4,2,0.5,2,0,2,40,5
2.7,0,4,357,165,Dan Reeves,0.535,20,9,0.55,11,0,2,190,23
2.2,0,1,272,110,Andy Reid,0.594,20,10,0.5,10,0,1,161,17
3.2,0,0,80,42,Ray Rhodes,0.469,3,2,0.333,1,0,1,37,5
4.0,0,0,27,19,Homer Rice,0.296,0,0,,0,0,0,8,2
4.0,0,0,36,21,Ray Richards,0.4,0,0,,0,0,1,14,3
4.3,0,0,48,34,Mike Riley,0.292,0,0,,0,0,0,14,3
4.5,0,0,23,20,Jim Ringo,0.13,0,0,,0,0,0,3,2
1.6,,,80,32,Ron Rivera,0.594,3,2,0.333,1,,1,47,5
15.5,0,0,18,13,Harry Robb,0.278,0,0,,0,0,0,5,2
4.0,0,0,35,25,J.D. Roberts,0.227,0,0,,0,0,3,7,3
6.0,0,0,11,4,Ed Robinson,0.5,0,0,,0,0,3,4,1
2.3,,,143,68,John Robinson,0.524,10,6,0.4,4,,0,75,9
3.5,,,8,6,Terry Robiskie,0.25,0,0,,0,,0,2,2
7.0,0,0,10,4,Charley Rogers,0.5,0,0,,0,0,2,4,1
4.0,0,0,58,40,Darryl Rogers,0.31,0,0,,0,0,0,18,4
5.0,0,0,46,31,Gene Ronzani,0.311,0,0,,0,0,1,14,4
18.0,0,0,1,1,Tam Rose,0.0,0,0,,0,0,0,0,1
2.8,0,1,137,63,Bobby Ross,0.54,8,5,0.375,3,0,0,74,9
7.7,0,0,31,11,Babe Ruetz,0.56,0,0,,0,0,6,14,3
4.0,0,0,21,16,Clive Rush,0.238,0,0,,0,0,0,5,2
5.0,0,0,16,15,Rod Rust,0.063,0,0,,0,0,0,1,1
2.7,,,97,50,Sam Rutigliano,0.485,2,2,0.0,0,,0,47,7
3.0,0,0,111,55,Buddy Ryan,0.5,3,3,0.0,0,0,1,55,7
2.6,0,0,112,58,Rex Ryan,0.482,6,2,0.667,4,0,0,54,7
1.0,1,0,19,7,Lou Rymkus,0.611,1,0,1.0,1,0,1,11,2
3.0,2,0,201,99,Lou Saban,0.49,4,2,0.5,2,0,7,95,16
3.0,0,0,32,17,Nick Saban,0.469,0,0,,0,0,0,15,2
21.0,0,0,4,4,Lenny Sachs,0.0,0,0,,0,0,0,0,1
11.0,0,0,3,3,Andy Salata,0.0,0,0,,0,0,0,0,1
3.0,0,0,9,5,John Sandusky,0.444,0,0,,0,0,0,4,1
4.0,0,0,39,22,Al Saunders,0.436,0,0,,0,0,0,17,3
8.0,0,0,36,15,Dewey Scanlon,0.531,0,0,,0,0,4,17,4
4.0,,,32,21,Greg Schiano,0.344,0,0,,0,,0,11,2
3.8,0,0,46,29,Paul Schissler,0.326,0,0,,0,0,3,14,4
2.5,0,0,84,34,Joe Schmidt,0.558,1,1,0.0,0,0,7,43,6
5.0,0,0,17,13,Howard Schnellenberger,0.235,0,0,,0,0,0,4,2
2.0,0,0,327,126,Marty Schottenheimer,0.613,18,13,0.278,5,0,1,200,21
3.2,0,0,80,51,Jim Schwartz,0.363,1,1,0.0,0,0,0,29,5
6.0,0,0,16,8,Ralph Scott,0.467,0,0,,0,0,1,7,1
2.0,0,0,7,6,Tom Scott,0.143,0,0,,0,0,0,1,1
1.9,2,2,176,62,George Seifert,0.648,15,5,0.667,10,2,0,114,11
2.6,2,2,308,138,Mike Shanahan,0.552,14,6,0.571,8,2,0,170,20
2.0,0,0,24,7,Clark Shaughnessy,0.667,1,1,0.0,0,0,3,14,2
2.6,1,0,150,55,Buck Shaw,0.621,3,1,0.667,2,0,5,90,12
2.9,,,108,52,Art Shell,0.519,5,3,0.4,2,,0,56,7
3.0,,,112,51,Allie Sherman,0.528,3,3,0.0,0,,4,57,8
2.0,,,96,39,Mike Sherman,0.594,6,4,0.333,2,,0,57,6
3.0,0,0,3,1,Ted Shipkey,0.667,0,0,,0,0,0,2,1
4.0,0,0,5,4,Ken Shipp,0.2,0,0,,0,0,0,1,1
4.0,,,7,6,Jim Shofner,0.143,0,0,,0,,0,1,1
3.4,0,0,71,52,David Shula,0.268,0,0,,0,0,0,19,5
1.8,2,6,490,156,Don Shula,0.677,36,17,0.528,19,2,6,328,33
3.3,,,33,23,Pat Shurmur,0.303,0,0,,0,,0,10,3
12.0,0,0,8,3,Herb Sies,0.4,0,0,,0,0,3,2,1
2.3,,,40,22,Mike Singletary,0.45,0,0,,0,,0,18,3
3.7,0,0,98,48,Nick Skorich,0.484,2,2,0.0,0,0,5,45,7
4.0,0,0,24,16,Clipper Smith,0.304,0,0,,0,0,1,7,2
4.0,0,0,5,3,Jerry Smith,0.4,0,0,,0,0,0,2,1
2.7,0,1,176,87,Lovie Smith,0.506,6,3,0.5,3,0,0,89,11
2.0,0,0,112,46,Mike Smith,0.589,5,4,0.2,1,0,0,66,7
4.0,0,0,12,6,Bob Snyder,0.5,0,0,,0,0,0,6,1
3.3,,,48,38,Steve Spagnuolo,0.208,0,0,,0,,0,10,3
2.8,0,0,73,41,Tony Sparano,0.438,1,1,0.0,0,0,0,32,5
4.0,0,0,26,19,Mac Speedie,0.24,0,0,,0,0,1,6,3
3.0,0,0,32,20,Steve Spurrier,0.375,0,0,,0,0,0,12,2
4.0,0,0,58,34,Gene Stallings,0.405,0,0,,0,0,1,23,4
4.0,0,0,4,3,Dick Stanfel,0.25,0,0,,0,0,0,1,1
3.2,0,0,131,76,Bart Starr,0.408,2,1,0.5,1,0,3,52,9
5.0,,,16,13,Les Steckel,0.188,0,0,,0,,0,3,1
4.3,0,0,36,26,Kay Stephenson,0.278,0,0,,0,0,0,10,3
7.0,0,0,7,3,Joey Sternaman,0.571,0,0,,0,0,0,4,1
2.0,0,0,7,4,Mal Stevens,0.333,0,0,,0,0,1,2,1
8.0,0,0,7,4,Pete Stinchcomb,0.429,0,0,,0,0,0,3,1
13.6,0,0,38,26,Carl Storck,0.235,0,0,,0,0,4,8,5
3.5,0,0,46,22,Red Strader,0.522,1,1,0.0,0,0,0,24,4
2.2,2,2,238,97,Hank Stram,0.574,8,3,0.625,5,1,10,131,17
4.0,,,4,3,Eric Studesville,0.25,0,0,,0,,0,1,1
4.0,,,10,8,Chuck Studley,0.2,0,0,,0,,0,2,1
3.0,1,0,49,28,Joe Stydahar,0.417,3,1,0.667,2,0,1,20,5
2.0,0,0,45,16,Jock Sutherland,0.636,1,1,0.0,0,0,1,28,4
5.1,0,0,74,48,Harland Svare,0.31,0,0,,0,0,5,21,7
1.8,1,1,64,24,Barry Switzer,0.625,7,2,0.714,5,1,0,40,4
7.0,0,0,18,6,Nelson Talbot,0.6,0,0,,0,0,3,9,2
4.0,0,0,14,10,Hugh Taylor,0.286,0,0,,0,0,0,4,1
8.0,0,0,3,0,Gus Tebell,1.0,0,0,,0,0,1,2,1
4.0,,,3,2,Emmitt Thomas,0.333,0,0,,0,,0,1,1
5.0,0,0,11,9,Joe Thomas,0.182,0,0,,0,0,0,2,1
12.0,0,0,41,25,Jim Thorpe,0.359,0,0,,0,0,2,14,4
2.4,,,65,33,Mike Tice,0.492,2,1,0.5,1,,0,32,5
2.0,1,0,23,3,Elgie Tobin,0.842,0,0,,0,0,4,16,2
4.0,0,0,71,43,Vince Tobin,0.394,2,1,0.5,1,0,0,28,5
3.0,0,0,9,4,Dick Todd,0.556,0,0,,0,0,0,5,1
13.0,0,0,4,3,Russell Tollefson,0.25,0,0,,0,0,0,1,1
1.8,1,2,144,52,Mike Tomlin,0.639,9,4,0.556,5,1,0,92,9
3.5,,,17,11,Jim Tomsula,0.353,0,0,,0,,0,6,2
3.0,,,32,19,Marc Trestman,0.406,0,0,,0,,0,13,2
2.5,0,0,48,20,Jim Trimble,0.556,0,0,,0,0,3,25,4
3.0,,,5,3,Mel Tucker,0.4,0,0,,0,,0,2,1
4.0,0,0,14,9,Bulldog Turner,0.357,0,0,,0,0,0,5,1
2.5,0,0,237,122,Norv Turner,0.483,8,4,0.5,4,0,1,114,15
8.3,0,0,24,8,Rube Ursella,0.6,0,0,,0,0,4,12,3
3.9,0,0,173,100,Norm Van Brocklin,0.398,0,0,,0,0,7,66,13
5.0,0,0,19,17,Rick Venturi,0.105,0,0,,0,0,0,2,2
3.0,1,2,229,109,Dick Vermeil,0.524,11,5,0.545,6,1,0,120,15
2.5,,,21,12,Joe Vitt,0.429,0,0,,0,,0,9,2
4.0,0,0,14,12,Carl Voyles,0.143,0,0,,0,0,0,2,1
3.0,0,0,19,7,Charlie Waller,0.563,0,0,,0,0,3,9,2
4.0,0,0,6,5,Ron Waller,0.167,0,0,,0,0,0,1,1
1.5,1,0,21,5,Adam Walsh,0.75,1,0,1.0,1,0,1,15,2
1.8,3,3,152,59,Bill Walsh,0.609,14,4,0.714,10,3,1,92,10
5.0,0,0,3,2,Chile Walsh,0.333,0,0,,0,0,0,1,1
3.7,0,0,111,57,Joe Walton,0.482,3,2,0.333,1,0,1,53,7
3.3,0,0,169,87,Dave Wannstedt,0.485,5,3,0.4,2,0,0,82,11
6.3,0,0,34,24,Bob Waterfield,0.273,0,0,,0,0,1,9,3
13.0,0,0,17,13,Red Weaver,0.235,0,0,,0,0,0,4,2
3.4,,,70,40,Alex Webster,0.421,0,0,,0,,1,29,5
4.5,0,0,26,7,Ed Weir,0.682,0,0,,0,0,4,15,2
4.0,0,0,7,3,John Whelchel,0.5,0,0,,0,0,1,3,1
2.8,0,1,119,71,Ken Whisenhunt,0.403,6,2,0.667,4,0,0,48,8
4.5,,,32,17,Mike White,0.469,0,0,,0,,0,15,2
4.0,0,0,35,24,Paul Wiggin,0.314,0,0,,0,0,0,11,3
13.0,0,0,4,3,Hubert Wiggs,0.25,0,0,,0,0,0,1,1
4.0,0,0,5,2,Willie Wilkin,0.5,0,0,,0,0,1,2,1
4.5,0,0,29,20,Bud Wilkinson,0.31,0,0,,0,0,0,9,2
4.0,0,0,48,31,Gregg Williams,0.354,0,0,,0,0,0,17,3
4.0,0,0,31,22,Jerry Williams,0.241,0,0,,0,0,2,7,3
3.5,,,19,15,Richard Williamson,0.211,0,0,,0,,0,4,2
4.0,0,0,2,0,Ray Willsey,1.0,0,0,,0,0,0,2,1
3.3,1,0,160,84,George Wilson,0.447,2,0,1.0,2,0,8,68,12
5.0,0,0,3,1,Larry Wilson,0.667,0,0,,0,0,0,2,1
3.3,0,0,93,44,Charley Winner,0.5,0,0,,0,0,5,44,7
8.0,0,0,10,8,Hoge Workman,0.2,0,0,,0,0,0,2,1
4.0,0,0,41,25,Lud Wray,0.342,0,0,,0,0,3,13,4
3.2,0,1,191,107,Sam Wyche,0.44,5,2,0.6,3,0,0,84,12
6.0,0,0,22,9,Doug Wycoff,0.471,0,0,,0,0,5,8,2
17.5,0,0,8,7,Doc Young,0.125,0,0,,0,0,0,1,2
7.0,0,0,10,4,Swede Youngstrom,0.5,0,0,,0,0,2,4,1
2.0,,,32,14,Mike Zimmer,0.563,0,0,,0,,0,18,2
4.0,0,0,32,20,Jim Zorn,0.375,0,0,,0,0,0,12,2
